source_id,ra,dec,l,b,parallax,pmra,pmdec,parallax_error,pmra_error,pmdec_error,ruwe,bp_g,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,pm,Simbad,main_id,main_type,sp_type,radvel,vtan,plx,gal_cord,gal_Y,gal_X,plx_err,pmra,pm,pmdec,B,V,gal_Z
3449524492981239296,84.08773637254144,34.17129495378841,174.51379150687987,1.0977298381258387,0.950993654579888,-0.17865779900926962,-3.330832982799774,0.029664187,0.037592944,0.027352147,1.2267337,0.009792328,0.073843956,,,3.3356209,Simbad,LS   V +34   52,Star,B2,-10.0,16.66149270167964,0.951,"(-0.04011114457172482, -0.546756964757112, 0.8973027554680071)",(-0.546756964757112),(-0.04011114457172482),0.0297,-0.179,3.3358061360351074,-3.331,9.63,9.6,0.8973027554680071
200783570694837504,74.79532672553731,40.275933484927904,165.26499860132714,-1.413414249227771,0.7870147818993449,-0.13019541049140548,-4.978310105271849,0.018580522,0.023010202,0.019024024,0.85039794,0.03342724,0.14064693,,,4.9800124,Simbad,HD 277276,Star,B8,-8.085,30.055351605489477,0.787,"(-0.19962006248153918, -0.7741381391562467, 0.9876276214911321)",(-0.7741381391562467),(-0.19962006248153918),0.0186,-0.13,4.979697205863522,-4.978,9.54,9.54,0.9876276214911321
272065944615923072,67.21951753847391,52.38938502526419,152.69916880429284,2.563703610045187,1.3792281576225622,0.31894754691718874,-4.026771795310942,0.025539588,0.029014146,0.022380238,0.8802725,0.06010866,0.22671986,,,4.0393834,Simbad,HD  28134,Star,B5,-8.0,13.912537227332859,1.3792,"(-0.2705478825183792, -0.4415902194083635, 0.5074554685267398)",(-0.4415902194083635),(-0.2705478825183792),0.0255,0.319,4.03961496614554,-4.027,7.9,7.8,0.5074554685267398
181178389317231616,80.62208870730313,33.514011992939686,173.47164759171167,-1.6646510408460842,0.29280649562311944,-0.9044919402230558,-0.6843667868323584,0.020289902,0.023448449,0.016163599,0.9799654,0.15020561,0.4632721,,,1.1342238,Simbad,HD 242908,YSO,O4.5V(n)((fc))z,-7.5,18.390191379022927,0.2928,"(-0.10488894707175872, -1.9226478074084046, 2.8207623667611097)",(-1.9226478074084046),(-0.10488894707175872),0.0203,-0.904,1.1336101486103094,-0.684,9.28,9.084,2.8207623667611097
3431075757316582016,88.917759539356,27.715641123869172,182.18126023523453,1.2745741978618894,0.6301843980150406,-0.26864770387044257,-2.1351865545823885,0.027212353,0.026123485,0.017058954,0.9478144,0.09954691,0.33991766,,,2.1520207,Simbad,HD  39746,PulsV*,B1II,-7.0,16.21933990501539,0.6302,"(0.12265248653205157, -0.7300652283621858, 1.4035270270929279)",(-0.7300652283621858),(0.12265248653205157),0.0272,-0.269,2.1518796777023455,-2.135,7.26,7.04,1.4035270270929279
1523140405554059008,197.425058112986,38.53390799424106,105.54785829804264,77.97109184398009,3.923391286054711,-13.252273363138512,5.383725614423138,0.054037478,0.03200354,0.044339325,1.0454586,-0.09815931,-0.14646816,,,14.304099,Simbad,*  15 CVn,Star,B7III,-7.0,17.317570999066835,3.9234,"(-0.16452913548463216, 0.15641184767950467, 0.11588702980540322)",(0.15641184767950467),(-0.16452913548463216),0.054,-13.252,14.303948792197373,5.384,6.15,6.28,0.11588702980540322
214796365355579520,87.08264222226248,51.01851005234782,161.11263603407303,11.667772345775322,1.4686118149809293,3.0768048274694717,-4.130658759768897,0.029352194,0.031974554,0.023373973,0.9728633,-0.034742355,-0.053938866,,,5.1506376,Simbad,HD  38410,PulsV*,B8,-6.742,16.66034459034796,1.4686,"(-0.22054880466218357, -0.3049145941628537, 0.5674840788484722)",(-0.3049145941628537),(-0.22054880466218357),0.0294,3.077,5.151027924995363,-4.131,8.68,8.71,0.5674840788484722
1649549642491581312,246.99559580704525,68.76828974822335,101.10702333991394,37.868903135593285,6.791145270841434,-24.299129909892347,34.348879439385406,0.07477477,0.098854676,0.100906536,1.1003789,-0.0072169304,-0.021779537,,,42.074852,Simbad,*  15 Dra,Star,B9.5IV,-6.7,29.42905551115021,6.7911,"(-0.14213478021823844, 0.005716253765119257, 0.03805320758309808)",(0.005716253765119257),(-0.14213478021823844),0.0748,-24.299,42.0748757100437,34.349,4.906,4.949,0.03805320758309808
182641663196974720,81.93035080612935,34.53239855934698,173.23716456919897,-0.19571670290351628,0.48943822621679517,0.021370594037802337,-2.443323483346817,0.03118893,0.03170407,0.023300987,1.1648893,0.17163324,0.52826595,,,2.4434168,Simbad,HD  35633,Star,B0.5IV,-6.4,23.712053772056,0.4894,"(-0.09544151293554357, -1.114840547280899, 1.7097283500464233)",(-1.114840547280899),(-0.09544151293554357),0.0312,0.021,2.4430903371253434,-2.443,8.32,8.09,1.7097283500464233
3431470821291988864,89.53092766590268,28.186870473764735,182.04501038166293,1.979470310407741,0.28911589801983106,-0.5567312830296905,-1.6039032530282769,0.028091138,0.028310798,0.018276703,1.2575657,0.20640373,0.59208107,,,1.6977795,Simbad,HD  40110,Star,B9II,-6.0,27.89797808986698,0.2891,"(0.23951985508314966, -1.5628992716770571, 3.076480471761493)",(-1.5628992716770571),(0.23951985508314966),0.0281,-0.557,1.697958994456783,-1.604,8.96,8.67,3.076480471761493
186270536902360448,74.0836946922179,36.16852123898096,168.14136982815822,-4.4021732350609355,1.0609122877928858,-0.9401980247087146,-2.3186907303687416,0.032473132,0.041783046,0.0315644,1.1858536,0.21455145,0.60254717,,,2.502059,Simbad,HD  31327,Star,B2.5Ib,-5.0,11.203495587768352,1.0609,"(-0.08320870787915097, -0.5944152579388247, 0.7267970510661783)",(-0.5944152579388247),(-0.08320870787915097),0.0325,-0.94,2.502271192762956,-2.319,6.426,6.089,0.7267970510661783
3449524359839733632,84.13331750820161,34.17978266222185,174.52692898817097,1.1340832821201838,0.8560523521338977,-0.12509235764223606,-3.2576023215015537,0.022926923,0.026406433,0.019306656,0.85319793,0.0015039444,0.05555153,,,3.2600033,Simbad,BD+34  1111,Star,B2V:,-5.0,18.090041927133463,0.8561,"(-0.0446814033143146, -0.6066986247977384, 0.997170774245699)",(-0.6066986247977384),(-0.0446814033143146),0.0229,-0.125,3.2603969065562017,-3.258,9.1,9.09,0.997170774245699
200986125653454208,77.57368596400217,40.65978115717523,166.24119738315437,0.5001686818079073,0.41761683663196236,0.6160021270279045,-2.6886501036018564,0.030276721,0.036431976,0.025359996,1.130406,0.004781723,0.1272335,,,2.7583144,Simbad,HD 277680,EB*,B3,-4.2,31.378377245746012,0.4176,"(-0.37991096098234145, -1.3869354081893297, 1.9147738781030597)",(-1.3869354081893297),(-0.37991096098234145),0.0303,0.616,2.758654846707529,-2.689,8.93,8.89,1.9147738781030597
205102422309522816,75.39288811769842,43.435720586873195,163.05049954255847,0.8841788430902952,0.8126078209885621,-0.03670430502020572,-2.9760591392450406,0.030160427,0.03984981,0.032183755,0.8958699,4.6634674E-4,0.05751419,,,2.9762855,Simbad,HD  31894,Star,B2IV-V,-3.0,17.39735731465177,0.8126,"(-0.25791559379562895, -0.7269608463097773, 0.9588678478311796)",(-0.7269608463097773),(-0.25791559379562895),0.0302,-0.037,2.976230072121392,-2.976,8.49,8.49,0.9588678478311796
181182340687256960,80.34065632818269,33.3854350164109,173.44423966288292,-1.9309615965670224,0.8474083530319358,-0.5434926158355087,-3.193325507387546,0.027291734,0.030245159,0.022843827,1.0133388,-0.0134859085,0.02989769,,,3.2392457,Simbad,HD  34760,Star,B8,-1.8,18.154944996541765,0.8474,"(-0.03407487328916996, -0.6685472530888101, 0.9718398498566059)",(-0.6685472530888101),(-0.03407487328916996),0.0273,-0.543,3.23884222419788,-3.193,8.81,8.82,0.9718398498566059
278958645569563136,69.65377553765583,58.662369031342145,148.98705413851977,7.815129489979127,0.8538234260490807,0.15772424251336997,-1.7866195115811037,0.021575728,0.02199238,0.018844537,0.72613287,0.054125786,0.21484852,,,1.793568,Simbad,HD  29130,Star,B8,-1.7,9.980514577372896,0.8538,"(-0.5446695828596004, -0.6383611426720374, 0.817080365726637)",(-0.6383611426720374),(-0.5446695828596004),0.0216,0.158,1.793971228165762,-1.787,8.42,8.32,0.817080365726637
184055879966125824,80.04754599551013,36.67463199261012,170.60490517236195,-0.25225151695153736,1.3379387104352096,-0.23332043284588547,-0.6797179256419905,0.039364155,0.045712665,0.03299287,0.9339532,-0.017425537,0.004236698,,,0.71864796,Simbad,HD  34576,Star,B2V,-0.4,2.5520228054766734,1.3379,"(-0.06451208399934681, -0.4210922946440745, 0.6141546994606486)",(-0.4210922946440745),(-0.06451208399934681),0.0394,-0.233,0.7188108252620334,-0.68,7.47,7.5,0.6141546994606486
3444121565857570560,88.64894639814487,31.1653463553529,179.08129768995943,2.810235152941026,0.6078792737605405,0.7724729082707906,-3.3537802512853183,0.024163073,0.021843204,0.015061783,0.92007625,0.030899048,0.13491249,,,3.4415922,Simbad,HD 248903,Star,B3,0.0,26.892705379942242,0.6079,"(0.028118743073210495, -0.7632048944654316, 1.4569752499495143)",(-0.7632048944654316),(0.028118743073210495),0.0242,0.772,3.441700259237936,-3.354,9.7,9.66,1.4569752499495143
194649640140781184,83.36970598504897,42.10893433277995,167.51408268312701,4.9030127962033765,1.643908997706321,4.041823672883536,-4.483432618074117,0.038502987,0.04480449,0.032748185,1.0033367,0.0011487007,0.041395664,,,6.036349,Simbad,HD  36404,Star,B9IIIp:(Hg?),0.3,17.44126156083055,1.6439,"(-0.10713375952474659, -0.31184018858788043, 0.5111932228700761)",(-0.31184018858788043),(-0.10713375952474659),0.0385,4.042,6.0361453730303305,-4.483,6.53,6.54,0.5111932228700761
182631943690594816,81.77358319193853,34.325423411379376,173.3371711912301,-0.41833246295878285,0.4748814082763945,-0.002112791522089319,-2.3868051442902867,0.023836162,0.026158022,0.0181868,0.984566,0.07195473,0.2541914,,,2.386806,Simbad,HD 281151,Star,B2,2.288,23.875034294976057,0.4749,"(-0.0911833588051645, -1.1535558404571125, 1.759259556061003)",(-1.1535558404571125),(-0.0911833588051645),0.0238,-0.002,2.38700083362707,-2.387,9.59,9.48,1.759259556061003
188903145698556416,78.06240346789453,40.10154184395075,166.9115383870507,0.4702046737400127,1.7042778435010426,4.5997842582575545,-4.744173837312182,0.027076216,0.033557925,0.02455186,0.9101294,0.028623104,0.1350975,,,6.607965,Simbad,HD  33462,Star,B8,2.3,18.416917666775664,1.7043,"(-0.08702112411505523, -0.337885050556307, 0.4717392752962241)",(-0.337885050556307),(-0.08702112411505523),0.0271,4.6,6.607990237064862,-4.744,7.04,6.98,0.4717392752962241
468876464407828096,60.8152034949725,56.54024382471467,147.13668107969505,2.968889416704422,0.23302288617260836,0.18287697414447035,0.1927552268453619,0.015519522,0.016756374,0.014215919,0.91996366,0.2632475,0.71422863,,,0.26570392,Simbad,HD 237211,BlueSG*,O9.5Iab,2.446,5.422057186411796,0.233,"(-1.9414197257167456, -2.6474110840787746, 2.7644247789606986)",(-2.6474110840787746),(-1.9414197257167456),0.0155,0.183,0.2659661682580894,0.193,9.41,9.05,2.7644247789606986
468876464407828096,60.8152034949725,56.54024382471467,147.13668107969505,2.968889416704422,0.23302288617260836,0.18287697414447035,0.1927552268453619,0.015519522,0.016756374,0.014215919,0.91996366,0.2632475,0.71422863,,,0.26570392,Simbad,HD 237211,BlueSG*,O9.5Iab,2.446,5.422057186411796,0.233,"(-1.9414197257167456, -2.6474110840787746, 2.7644247789606986)",(-2.6474110840787746),(-1.9414197257167456),0.0155,0.183,0.2659661682580894,0.193,9.41,9.05,2.7644247789606986
188339852145751040,76.64288568214512,38.52223332420773,167.5260801124321,-1.3525958315739384,1.2622195642203742,-0.6674800650074599,-3.159376637551805,0.025821421,0.028921522,0.021198737,0.91503793,0.08015013,0.28154325,,,3.229116,Simbad,HD  32672,Star,B2IV,3.1,12.15027668068728,1.2622,"(-0.09793965262590555, -0.47218990139201367, 0.6285954348572141)",(-0.47218990139201367),(-0.09793965262590555),0.0258,-0.667,3.228648252814988,-3.159,7.87,7.77,0.6285954348572141
1102797861873269504,102.73787941728247,67.57195536591385,147.80215637468118,24.883352536562857,4.167637743426236,0.703671685608846,4.757127741105398,0.1299823,0.065649815,0.09855,1.3166354,-0.08028126,-0.21646261,,,4.8088894,Simbad,*  42 Cam,Star,B4IV,3.2,5.480816986529196,4.1676,"(-0.1400469087110029, -0.0671892231105406, 0.18288431506940522)",(-0.0671892231105406),(-0.1400469087110029),0.13,0.704,4.808811309875784,4.757,4.961,5.122,0.18288431506940522
1101876819022885504,111.85761158346641,66.3314424614078,149.68648674455747,28.26221349108694,4.304382063541361,-3.9532452095689914,-28.962262542595607,0.03565759,0.022528576,0.031411685,1.11614,-0.03842926,-0.07716465,,,29.23082,Simbad,HD  57742,Star,B9V,3.2,32.25652800258431,4.3044,"(-0.13374014151111246, -0.0510538917737897, 0.18297499549604085)",(-0.0510538917737897),(-0.13374014151111246),0.0357,-3.953,29.230525910758622,-28.962,6.393,6.462,0.18297499549604085
259362255991701504,70.83994223159117,49.97372091624598,156.0158116981789,2.618498807570587,4.416562489631283,-5.057211958334248,-15.071265734810595,0.071883075,0.06842759,0.04794452,1.177021,0.015879631,0.09609318,,,15.89712,Simbad,HD  29721,Star,B9III,3.4,17.09681676589241,4.4166,"(-0.07396799643579959, -0.13527979598187811, 0.16581148108965738)",(-0.13527979598187811),(-0.07396799643579959),0.0719,-5.057,15.896801013748115,-15.071,5.863,5.856,0.16581148108965738
205108813221070208,74.83853290009884,43.32336930289122,162.8907857121759,0.4975796220271089,0.9488606445262161,-0.617720497870045,-3.088697557989618,0.030451136,0.03761268,0.028685173,0.9080305,-0.019210815,0.0046076775,,,3.149862,Simbad,HD  31617,Star,B2IV,3.5,15.769326377992952,0.9489,"(-0.219946204514629, -0.6287274138888159, 0.8166573411697149)",(-0.6287274138888159),(-0.219946204514629),0.0305,-0.618,3.1502133796718246,-3.089,7.4,7.4,0.8166573411697149
187445536879319296,78.63880123654762,38.225549048079564,168.69291902217952,-0.2685500193942584,0.7465775765091139,1.2574509476475546,-3.311757704812362,0.040018678,0.04381514,0.03132155,0.9705687,0.0059366226,0.06684494,,,3.5424457,Simbad,HD  33816,Star,B5,3.903,22.53808409351981,0.7466,"(-0.15426329340601064, -0.7704666617525456, 1.0847075699791797)",(-0.7704666617525456),(-0.15426329340601064),0.04,1.257,3.5425122018414155,-3.312,8.78,8.8,1.0847075699791797
3443002812776816512,87.20412678043368,27.36376670646153,181.70993354657125,-0.21217175662227641,1.0256634687633168,-0.30177910246143264,-0.9278212112550446,0.032964543,0.038198855,0.023318525,1.0209465,0.014580727,0.107728004,,,0.97566533,Simbad,HD  38689,Star,B8,4.2,4.51939402026041,1.0257,"(0.08063295206776987, -0.4712671954403197, 0.8496595505594631)",(-0.4712671954403197),(0.08063295206776987),0.033,-0.302,0.9759036473764752,-0.928,7.776,7.74,0.8496595505594631
182993270699222144,82.93973241941552,34.88192390678495,173.4034365448089,0.6891873841799977,0.43559425922806827,-0.34975502405669784,-2.092267373008551,0.027665488,0.028192127,0.0219477,0.9370708,0.11830139,0.37998152,,,2.1212995,Simbad,HD  36212,Star,B3II,4.7,23.129272720625835,0.4356,"(-0.11855477657812291, -1.2234046516240245, 1.9389149817985656)",(-1.2234046516240245),(-0.11855477657812291),0.0277,-0.35,2.1210761025609677,-2.092,7.98,7.81,1.9389149817985656
