_RAJ2000,_DEJ2000,ALS,Name,RAJ,mag,n_mag,RAJ2000,DEJ2000,GLON,GLAT,Simbad,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R_x,J,H,K,u,g,r_xa,i,z,angDist
94.874167,23.929167,8872,LS   V +23  58,"(6.0, 19.0, 29.8)",10.3,V,06 19 29.8,+23 55 45,188.1,4.13,Simbad,BD+23  1302,94.8740948946,23.9292630728,0.0,0.0,90.0,9,06 19 29.78277,+23 55 45.3471,A,2020yCat.1350....0G,Star,*|IR,,,,,,,0.5662,0.0217,0.675,-1.396,0.019,0.014,90,,,,10.49,10.2,,9.738,9.699,9.669,,,,,,0.419424
94.938333,22.110556,14796,MCW 417,"(6.0, 19.0, 45.2)",8.7,V,06 19 45.2,+22 06 38,189.74,3.33,Simbad,HD  43907A,94.9384650657,22.1107823516,0.0,0.0,90.0,1,06 19 45.23162,+22 06 38.8165,A,2020yCat.1350....0G,Star,*|**,,,,,,,0.4706,0.0392,1.234,-2.511,0.039,0.031,90,,,,9.2,9.01,,,,,,,,,,0.926295
94.945417,22.304444,8878,LS   V +22  48,"(6.0, 19.0, 46.9)",9.2,V,06 19 46.9,+22 18 16,189.57,3.42,Simbad,HD 255093A,94.9451517847,22.3045274217,0.0,0.0,90.0,0,06 19 46.83643,+22 18 16.2987,A,2020yCat.1350....0G,Star,*|**,,,,,,,0.6308,0.031,0.949,-2.278,0.024,0.02,90,,,,9.76,9.43,9.382,,,,,,,,,0.932994
94.97375,23.265278,8882,LS   V +23  63,"(6.0, 19.0, 53.7)",9.2,V,06 19 53.7,+23 15 55,188.73,3.9,Simbad,HD 255134,94.9737846768,23.2651197288,0.0,0.0,90.0,15,06 19 53.70832,+23 15 54.4310,A,2020yCat.1350....0G,Star,*|IR,,,,,B1IVp,,0.5678,0.0272,0.427,-1.494,0.03,0.023,90,,,,9.46,9.18,,8.243,8.214,8.136,,,,,,0.581204
95.7425,22.862778,8917,LS   V +22  53,"(6.0, 22.0, 58.2)",9.2,V,06 22 58.2,+22 51 46,189.42,4.33,Simbad,HD 256035,95.7426726309,22.8628216846,0.0,0.0,90.0,34,06 22 58.24143,+22 51 46.1581,A,2020yCat.1350....0G,Star,*|IR,,,,,O9V:p,,0.6425,0.0156,0.281,-2.554,0.018,0.014,90,,,,9.63,9.21,,7.899,7.763,7.678,,,,,,0.593849
95.938333,22.394167,8927,LS   V +22  54,"(6.0, 23.0, 45.2)",9.3,V,06 23 45.2,+22 23 39,189.92,4.28,Simbad,HD 256276,95.9383934631,22.394051845,0.0,0.0,90.0,18,06 23 45.21443,+22 23 38.5866,A,2020yCat.1350....0G,Star,*|IR|UV,,,,,B1.5:V:nn,,0.6038,0.0188,0.583,-3.079,0.021,0.016,90,,,,9.35,9.24,,8.984,8.917,8.895,,,,,,0.460826
96.526667,25.578333,8944,LS   V +25  30,"(6.0, 26.0, 6.4)",9.7,V,06 26 06.4,+25 34 42,187.33,6.22,Simbad,HD 256959,96.5269240753,25.578194989,0.0,0.0,90.0,12,06 26 06.46178,+25 34 41.5020,A,2020yCat.1350....0G,TTau*,*|Er*|IR|TT*,,,,,A0,,0.258,0.0218,-0.102,-1.002,0.025,0.019,90,,,,10.19,9.7,,8.202,7.912,7.778,,,,,,0.971439
98.457083,24.17,9005,LS   V +24  18,"(6.0, 33.0, 49.7)",10.5,P,06 33 49.7,+24 10 12,189.39,7.14,Simbad,HD 259494,98.4570963403,24.170058746,0.0,0.0,90.0,13,06 33 49.70312,+24 10 12.2115,A,2020yCat.1350....0G,Em*,*|Em*|IR|UV,,,,,B2,,0.5033,0.0232,-1.006,-0.429,0.027,0.022,90,,,,9.87,9.94,,9.563,9.401,9.147,,,,,,0.215977
99.7475,24.731389,9070,LS   V +24  19,"(6.0, 38.0, 59.4)",9.5,V,06 38 59.4,+24 43 53,189.41,8.45,Simbad,HD 261105,99.7475511868,24.731313645,0.0,0.0,90.0,10,06 38 59.41228,+24 43 52.7291,A,2020yCat.1350....0G,Star,*|IR|UV,,,,,B8,,0.8988,0.0256,1.694,-3.657,0.027,0.021,90,,,,9.49,9.6,,9.554,9.569,9.594,,,,,,0.318755
107.357083,36.563333,19977,HD 54159,"(7.0, 9.0, 25.7)",6.8,V,07 09 25.7,+36 33 48,180.88,19.13,Simbad,HD  54159,107.3571635641,36.5632460449,0.0,0.0,90.0,13,07 09 25.71926,+36 33 47.6858,A,2020yCat.1350....0G,EB*,*|**|IR|UV,,,,,A0,,3.2764,0.0574,0.346,-15.775,0.049,0.043,90,,,,6.74,6.78,,6.721,6.769,6.729,,,,,,0.390205
108.459167,28.493889,19980,HD 55356,"(7.0, 13.0, 50.2)",7.0,V,07 13 50.2,+28 29 38,189.15,17.09,Simbad,HD  55356,108.4590141178,28.4940483546,0.009,0.006,90.0,17,07 13 50.16339,+28 29 38.5741,A,2007A&A...474..653V,**,*|**|IR|UV,,,,,A0,,4.35,0.92,-13.0,-8.49,1.08,0.73,0,,,,7.04,7.04,,6.854,6.912,6.84,,,,,,0.750385
