source_id,ra,dec,l,b,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax_error,pmra_error,pmdec_error,ruwe,bp_g,bp_rp,pm,radial_velocity,radial_velocity_error,teff_gspphot,RAJ2000,DEJ2000,Simbad,main_id,main_type,other_types,radvel,radvel_err,sp_type,V,vtan,gal_cord,gal_X,gal_Y,gal_Z
183709705601742592,81.43659742487554,35.64718449042208,172.08660838295387,0.09096574668802505,0.8841244441874394,-0.5848170170961666,-2.977652702538703,8.159087,8.28361,7.808123,0.028929397,0.034976255,0.023604406,0.9608729,0.12452316,0.47548723,3.034539,,,33824.477,05 25 44.8,+35 38 49,Simbad,HD  35345,Be*,*|Be*|Em*|IR|UV|V*,-499.792,0.003,B1Vpe,8.43,16.303202869440167,"(-1.120290327640347, 0.15572002253471662, 0.0017957326366174252)",-1.120290327640347,0.15572002253471662,0.0017957326366174252
938228841240985728,98.90685277956142,32.57680165742925,181.9039154429051,11.175725850950892,2.4354472322923324,-3.2937191827975076,-2.1010652294008554,7.7731147,7.7403674,7.804854,0.04006429,0.040877823,0.032985393,1.0204048,-0.03274727,-0.0644865,3.9067967,,,11680.873,06 35 37.6,+32 34 37,Simbad,V* V459 Aur,EB*,*|EB*|IR|UV|V*,-98.2,15.4,B8,7.77,7.619661822067946,"(-0.4025937251340494, -0.013382951901565054, 0.07958240113705894)",-0.4025937251340494,-0.013382951901565054,0.07958240113705894
272162358041333760,68.06862724538621,53.14370959465997,152.5018185285361,3.4548237742321977,0.9998267910372811,-0.0350882886412327,-1.1816930247200994,9.941419,10.193348,9.513705,0.016576748,0.014922547,0.012530958,0.86253923,0.25192928,0.6796427,1.1822139,,,17567.096,04 32 16.4,+53 08 38,Simbad,BD+52   840,Star,*|IR,-90.404,1.573,OB-,10.07,5.6164888629589615,"(-0.8855668169958452, 0.4609611825067081, 0.06027195706236031)",-0.8855668169958452,0.4609611825067081,0.06027195706236031
190835189486719616,83.05770825764375,40.066086383049154,169.10814436250732,3.5985795104985967,0.17020511347641132,0.22374041312392873,0.8428408260013506,9.642372,9.961786,9.129629,0.018323498,0.02296689,0.015946688,1.2984022,0.31941414,0.83215714,0.87203234,,,19516.094,05 32 13.8,+40 03 58,Simbad,BD+39  1328,BlueSG*,*|IR|s*b,-71.9,4.7,O8.5Iab(n)(f),9.92,24.336246726189756,"(-5.758049015375436, 1.1079766562197537, 0.36876551433167376)",-5.758049015375436,1.1079766562197537,0.36876551433167376
195645832035222400,81.65634289596129,43.01971193380546,166.05670997750806,4.344730348424417,0.2262468320299801,0.13779353200038513,0.3107467625621876,10.021754,10.157121,9.744317,0.01757986,0.024358839,0.017419035,0.97691303,0.13536644,0.41280365,0.33992735,,,18496.635,05 26 37.5,+43 01 11,Simbad,HD 278115,Star,*|IR,-57.3,,B0.5V,10.15,7.136696132739459,"(-4.277388813305485, 1.0619770792291374, 0.3348431336286775)",-4.277388813305485,1.0619770792291374,0.3348431336286775
3429519531748056576,89.97314433268572,25.088619351155913,184.92918239235604,0.7786311849524309,0.9183153131033188,0.9383202241539187,-3.2013399204132464,8.987453,9.120864,8.692627,0.020262666,0.022899492,0.01651245,1.1207149,0.13341045,0.42823696,3.3360188,,,25616.441,05 59 53.6,+25 05 19,Simbad,HD 250028,Be*,*|Be*|Em*|IR|UV,-57.1,3.4,B2:V:nep,9.0,17.255608261549995,"(-1.0848231001813018, -0.09355876362678225, 0.01479803217618902)",-1.0848231001813018,-0.09355876362678225,0.01479803217618902
3380459705169357952,103.90499331808707,24.008020110593385,191.71859789494619,11.557895984897083,0.6736962698126829,0.2982920816409337,-1.892523801658358,7.7228484,7.62439,7.8656254,0.058401834,0.0553217,0.047959313,1.0223749,-0.09845829,-0.24123526,1.9158874,,,17592.42,06 55 37.2,+24 00 28,Simbad,HD  50767,Star,*|IR|UV,-51.4,,B2V,7.75,13.508260840751625,"(-1.4239388971020943, -0.295365626778842, 0.29740111591504803)",-1.4239388971020943,-0.295365626778842,0.29740111591504803
206565425610919296,73.78756394443108,46.02415557052481,160.31270259036415,1.5968069115811392,0.1859837574947301,-0.21616531118923102,0.007646412067169279,10.089778,10.529777,9.45856,0.013096827,0.016576126,0.01368376,0.91417116,0.43999863,1.0712166,0.2163005,,,,04 55 09.0,+46 01 26,Simbad,EM* MWC  477,Em*,*|Em*|IR,-45.0,10.0,B4,10.62,5.524285563063771,"(-5.060547428271621, 1.8106726386069392, 0.14982991459919986)",-5.060547428271621,1.8106726386069392,0.14982991459919986
954333422410452096,104.13355391046419,46.2740212150824,170.30039449034095,20.071752247824907,3.4481348980821513,-3.2631420264141715,5.040498122131485,5.8759804,5.847252,5.884165,0.055969544,0.04733901,0.042236764,0.9743177,-0.028728485,-0.036912918,6.004558,,,,06 56 32.1,+46 16 26,Simbad,* psi09 Aur,Be*,*|Be*|Em*|IR|UV,-41.1,2.0,B8IIIe,5.87,8.271616904037371,"(-0.2685035458622429, 0.04589424890182292, 0.09953110137107851)",-0.2685035458622429,0.04589424890182292,0.09953110137107851
188530789212836864,77.22479051565136,39.48824813792436,167.0236973531636,-0.41167938743880383,0.6381539142090454,0.14215048931810798,-3.1630304681145534,7.9518347,7.98079,7.837556,0.025061354,0.030231958,0.020574138,0.8652157,0.02895546,0.14323425,3.166223,,,17630.977,05 08 54.0,+39 29 18,Simbad,HD  32989,Star,*|**|IR|UV,-38.0,10.0,B2IV,7.99,23.56729175933802,"(-1.5269637070694098, 0.3518622035297866, -0.011259194356437005)",-1.5269637070694098,0.3518622035297866,-0.011259194356437005
