_RAJ2000,_DEJ2000,ALS,Name,mag,n_mag,RAJ2000,DEJ2000,GLON,GLAT,Simbad
274.78125,-14.599444,9513,LS  IV -14  32,11.1,P,18 19 07.5,-14 35 58,16.29,0.35,Simbad
274.7825,-14.597778,4917,LS  4917,10.4,P,18 19 07.8,-14 35 52,16.29,0.35,Simbad
274.787083,-13.720833,9516,LS  IV -13  28,11.4,P,18 19 08.9,-13 43 15,17.07,0.76,Simbad
274.7875,-14.166667,9515,LS  IV -14  33,9.4,V,18 19 09.0,-14 10 00,16.68,0.55,Simbad
274.790417,-13.857778,15396,"AJ 106, 1906 N6611-496",14.1,V,18 19 09.7,-13 51 28,16.95,0.69,Simbad
274.792917,-13.817778,20141,NGC 6611 504,12.8,V,18 19 10.3,-13 49 04,16.99,0.71,Simbad
274.795833,-13.945,9518,LS  IV -13  29,10.2,P,18 19 11.0,-13 56 42,16.88,0.65,Simbad
274.79625,-13.944722,4919,LS  4919,9.8,V,18 19 11.1,-13 56 41,16.88,0.65,Simbad
274.797083,-12.652222,9519,LS  IV -12  36,11.1,V,18 19 11.3,-12 39 08,18.02,1.26,Simbad
274.80125,-12.663333,9520,LS  IV -12  37,11.5,P,18 19 12.3,-12 39 48,18.01,1.25,Simbad
274.802083,-12.663333,4920,LS  4920,10.3,V,18 19 12.5,-12 39 48,18.01,1.25,Simbad
274.808333,-13.8725,20136,NGC 6611 520,11.7,V,18 19 14.0,-13 52 21,16.95,0.67,Simbad
274.8125,-14.010556,15397,"AJ 106, 1906 N6611-594",13.9,V,18 19 15.0,-14 00 38,16.83,0.6,Simbad
274.827083,-13.9275,9521,LS  IV -13  30,11.4,V,18 19 18.5,-13 55 39,16.91,0.63,Simbad
274.83,-13.730833,15398,"AJ 106, 1906 N6611-541",13.3,V,18 19 19.2,-13 43 51,17.08,0.72,Simbad
274.8325,-13.905556,9522,LS  IV -13  31,10.7,V,18 19 19.8,-13 54 20,16.93,0.63,Simbad
274.83875,-12.586111,9524,LS  IV -12  38,11.3,V,18 19 21.3,-12 35 10,18.09,1.25,Simbad
274.842083,-14.104167,9523,LS  IV -14  34,11.2,P,18 19 22.1,-14 06 15,16.76,0.53,Simbad
274.847083,-12.2975,9525,LS  IV -12  39,11.3,P,18 19 23.3,-12 17 51,18.35,1.38,Simbad
274.847917,-12.296389,4924,LS  4924,10.7,V,18 19 23.5,-12 17 47,18.35,1.38,Simbad
274.863333,-18.218889,4922,LS  4922,8.6,V,18 19 27.2,-18 13 08,13.14,-1.43,Simbad
