_RAJ2000,_DEJ2000,ALS,Name,mag,n_mag,RAJ2000,DEJ2000,GLON,GLAT,Simbad
0.016667,63.908056,13354,LS   I +63  26,12.4,P,00 00 04.0,+63 54 29,117.32,1.6,Simbad
0.042083,62.294167,18110,"AA 17, 253, No. 210",11.5,P,00 00 10.1,+62 17 39,117.01,0.01,Simbad
0.05,62.135278,13355,LS   I +61 118,11.4,V,00 00 12.0,+62 08 07,116.98,-0.14,Simbad
0.081667,63.335556,18109,"AA 17, 253, No. 209",11.3,P,00 00 19.6,+63 20 08,117.23,1.03,Simbad
0.098333,63.793056,13356,LS   I +63  27,13.2,P,00 00 23.6,+63 47 35,117.33,1.48,Simbad
0.107083,62.662778,13357,LS   I +62  56,11.5,V,00 00 25.7,+62 39 46,117.11,0.37,Simbad
0.121667,67.216389,13358,LS   I +66   3,10.8,V,00 00 29.2,+67 12 59,118.02,4.83,Simbad
0.19875,62.5075,18111,"AA 17, 253, No. 215",10.5,P,00 00 47.7,+62 30 27,117.12,0.21,Simbad
0.19875,60.813889,18090,BD +60 2654,9.8,V,00 00 47.7,+60 48 50,116.79,-1.45,Simbad
0.2025,61.047222,13359,LS   I +60  65,11.5,V,00 00 48.6,+61 02 50,116.84,-1.22,Simbad
0.2425,62.574167,13360,LS   I +62  57,12.0,V,00 00 58.2,+62 34 27,117.16,0.27,Simbad
0.246667,62.081389,13361,LS   I +61 119,9.9,V,00 00 59.2,+62 04 53,117.06,-0.21,Simbad
0.284167,64.621944,13362,LS   I +64   7,11.4,P,00 01 08.2,+64 37 19,117.57,2.27,Simbad
0.286667,58.981111,13363,LS   I +58   8,11.2,V,00 01 08.8,+58 58 52,116.48,-3.26,Simbad
0.297083,64.994722,13364,LS   I +64   8,10.5,P,00 01 11.3,+64 59 41,117.65,2.64,Simbad
0.308333,64.588333,13365,LS   I +64   9,13.6,P,00 01 14.0,+64 35 18,117.58,2.24,Simbad
0.310833,59.143056,13366,LS   I +58   9,11.3,V,00 01 14.6,+59 08 35,116.52,-3.1,Simbad
0.315417,60.355,13367,LS   I +60  66,7.9,V,00 01 15.7,+60 21 18,116.76,-1.91,Simbad
0.315417,63.242222,18091,BD +62 2345,10.0,P,00 01 15.7,+63 14 32,117.32,0.92,Simbad
0.353333,63.503889,18092,BD +62 2346,9.5,V,00 01 24.8,+63 30 14,117.39,1.17,Simbad
0.388333,64.512222,13368,LS   I +64  10,12.1,P,00 01 33.2,+64 30 44,117.6,2.16,Simbad
0.388333,63.546944,13369,LS   I +63  28,12.4,P,00 01 33.2,+63 32 49,117.41,1.21,Simbad
0.395417,64.623056,13370,LS   I +64  11,10.0,V,00 01 34.9,+64 37 23,117.62,2.27,Simbad
0.401667,64.339444,13371,LS   I +64  12,11.6,P,00 01 36.4,+64 20 22,117.57,1.99,Simbad
0.40375,61.2225,13372,LS   I +60  67,5.6,V,00 01 36.9,+61 13 21,116.97,-1.07,Simbad
0.410833,60.45,13373,LS   I +60  68,8.5,V,00 01 38.6,+60 27 00,116.83,-1.83,Simbad
0.4325,42.366944,16480,HR 9086,6.2,V,00 01 43.8,+42 22 01,113.22,-19.56,Simbad
0.441667,63.465833,13374,LS   I +63  29,12.9,P,00 01 46.0,+63 27 57,117.42,1.13,Simbad
0.445833,67.506389,13375,LS   I +67   6,10.1,V,00 01 47.0,+67 30 23,118.2,5.09,Simbad
0.44625,64.591944,13376,LS   I +64  13,12.0,P,00 01 47.1,+64 35 31,117.64,2.23,Simbad
0.455833,-3.0275,16605,HR 9087,5.1,V,00 01 49.4,-03 01 39,94.59,-63.14,Simbad
0.52625,62.405556,13377,LS   I +62  58,11.2,V,00 02 06.3,+62 24 20,117.25,0.08,Simbad
0.5425,67.429167,13378,LS   I +67   7,9.6,V,00 02 10.2,+67 25 45,118.22,5.01,Simbad
0.542917,67.409167,13379,LS   I +67   8,9.0,V,00 02 10.3,+67 24 33,118.21,4.99,Simbad
0.555417,67.418056,13380,LS   I +67   9,11.3,V,00 02 13.3,+67 25 05,118.22,5.0,Simbad
0.555833,60.436111,13381,LS   I +60  69,12.0,V,00 02 13.4,+60 26 10,116.89,-1.86,Simbad
0.571667,61.260278,13382,LS   I +60  70,11.7,V,00 02 17.2,+61 15 37,117.06,-1.05,Simbad
0.575,67.433333,17957,NGC 7288 # 29,11.6,V,00 02 18.0,+67 26 00,118.23,5.01,Simbad
0.577083,61.877222,13383,LS   I +61 120,11.8,V,00 02 18.5,+61 52 38,117.18,-0.44,Simbad
0.582917,-29.72,16179,HD 224990,5.0,V,00 02 19.9,-29 43 12,16.55,-78.9,Simbad
0.58375,67.573333,13384,LS   I +67  10,11.1,V,00 02 20.1,+67 34 24,118.26,5.15,Simbad
0.588333,63.47,13385,LS   I +63  30,13.0,P,00 02 21.2,+63 28 12,117.48,1.12,Simbad
0.595,62.901389,13386,LS   I +62  59,9.9,V,00 02 22.8,+62 54 05,117.38,0.56,Simbad
0.6125,67.706944,13387,LS   I +67  11,10.8,V,00 02 27.0,+67 42 25,118.3,5.28,Simbad
0.6325,60.595556,13388,LS   I +60  71,11.9,V,00 02 31.8,+60 35 44,116.96,-1.71,Simbad
0.635,61.113611,13389,LS   I +60  72,11.5,V,00 02 32.4,+61 06 49,117.06,-1.2,Simbad
0.637917,61.18,13390,LS   I +60  73,12.7,V,00 02 33.1,+61 10 48,117.07,-1.13,Simbad
0.638333,61.264167,18112,"AA 17, 253, No. 247",11.8,P,00 02 33.2,+61 15 51,117.09,-1.05,Simbad
0.779167,60.231944,6001,LS   I +59  26,12.3,V,00 03 07.0,+60 13 55,116.96,-2.08,Simbad
0.857083,63.640278,6002,LS   I +63  31,6.2,V,00 03 25.7,+63 38 25,117.63,1.26,Simbad
0.862917,55.550556,14738,HD 225095,7.9,V,00 03 27.1,+55 33 02,116.13,-6.69,Simbad
0.884583,60.982778,6004,LS   I +60  75,10.8,V,00 03 32.3,+60 58 58,117.15,-1.35,Simbad
0.884583,61.203333,6003,LS   I +60  74,11.0,V,00 03 32.3,+61 12 12,117.19,-1.13,Simbad
0.935417,61.001111,6005,LS   I +60  76,11.5,V,00 03 44.5,+61 00 04,117.18,-1.34,Simbad
0.937083,-17.336111,15812,HR 9098,4.6,V,00 03 44.9,-17 20 10,72.11,-75.26,Simbad
0.989167,61.103333,6006,LS   I +60  77,8.6,V,00 03 57.4,+61 06 12,117.23,-1.24,Simbad
1.012083,60.8475,6007,LS   I +60  78,10.4,V,00 04 02.9,+60 50 51,117.19,-1.49,Simbad
1.01375,64.243889,6008,LS   I +63  32,10.7,P,00 04 03.3,+64 14 38,117.81,1.84,Simbad
1.015417,62.221944,6009,LS   I +61 121,8.2,V,00 04 03.7,+62 13 19,117.44,-0.14,Simbad
1.035417,63.283056,6010,LS   I +63  33,12.3,P,00 04 08.5,+63 16 59,117.65,0.9,Simbad
1.046667,63.564722,6011,LS   I +63  34,11.5,P,00 04 11.2,+63 33 53,117.7,1.17,Simbad
1.056667,62.287778,6012,LS   I +62  61,5.9,V,00 04 13.6,+62 17 16,117.47,-0.08,Simbad
1.06375,60.155,6013,LS   I +59  27,8.8,V,00 04 15.3,+60 09 18,117.09,-2.18,Simbad
1.067917,66.3475,6014,LS   I +66   4,10.7,V,00 04 16.3,+66 20 51,118.22,3.91,Simbad
1.076667,55.874444,6015,LS   I +55   4,10.8,V,00 04 18.4,+55 52 28,116.31,-6.39,Simbad
1.08875,54.274444,16622,HD 225190,7.8,V,00 04 21.3,+54 16 28,116.02,-7.96,Simbad
1.089583,63.063611,6016,LS   I +62  62,11.5,V,00 04 21.5,+63 03 49,117.63,0.68,Simbad
1.105417,63.054167,6017,LS   I +62  63,11.3,V,00 04 25.3,+63 03 15,117.63,0.67,Simbad
1.11125,60.496389,6018,LS   I +60  79,11.3,V,00 04 26.7,+60 29 47,117.17,-1.85,Simbad
1.12375,64.694722,6019,LS   I +64  14,13.5,P,00 04 29.7,+64 41 41,117.94,2.28,Simbad
1.124583,62.994444,6020,LS   I +62  64,12.7,V,00 04 29.9,+62 59 40,117.63,0.61,Simbad
1.129167,61.246389,6021,LS   I +60  80,11.0,V,00 04 31.0,+61 14 47,117.32,-1.11,Simbad
1.141667,63.541111,6022,LS   I +63  35,10.8,P,00 04 34.0,+63 32 28,117.74,1.14,Simbad
1.141667,62.820833,18113,"AA 17, 253, No. 276",11.0,P,00 04 34.0,+62 49 15,117.61,0.43,Simbad
1.1525,42.092222,16481,HR 9105,6.1,V,00 04 36.6,+42 05 32,113.72,-19.94,Simbad
1.172083,-71.436667,16860,HD 225253,5.6,V,00 04 41.3,-71 26 12,308.18,-45.21,Simbad
1.174167,61.499167,6023,LS   I +61 122,11.3,V,00 04 41.8,+61 29 57,117.39,-0.87,Simbad
1.176667,60.591667,6024,LS   I +60  81,10.9,V,00 04 42.4,+60 35 30,117.22,-1.76,Simbad
1.177917,60.234722,6025,LS   I +59  28,10.1,V,00 04 42.7,+60 14 05,117.16,-2.11,Simbad
1.179167,60.802222,6026,LS   I +60  82,12.2,V,00 04 43.0,+60 48 08,117.26,-1.55,Simbad
1.20375,68.188611,6027,LS   I +67  12,9.1,V,00 04 48.9,+68 11 19,118.61,5.71,Simbad
1.217917,62.603889,18114,"AA 17, 253, No. 279",11.7,P,00 04 52.3,+62 36 14,117.6,0.22,Simbad
1.229167,58.532222,17935,ADS 36 AB,6.6,V,00 04 55.0,+58 31 56,116.88,-3.79,Simbad
1.254583,63.825833,6028,LS   I +63  36,11.3,P,00 05 01.1,+63 49 33,117.84,1.41,Simbad
1.330833,62.589444,18115,"AA 17, 253, No. 285",11.6,P,00 05 19.4,+62 35 22,117.65,0.19,Simbad
1.349583,63.788889,18093,BD +62 2362,9.7,V,00 05 23.9,+63 47 20,117.87,1.37,Simbad
1.390833,60.831389,6030,LS   I +60  83,12.1,V,00 05 33.8,+60 49 53,117.37,-1.54,Simbad
1.39125,63.817222,6029,LS   I +63  37,9.2,V,00 05 33.9,+63 49 02,117.9,1.39,Simbad
1.404167,43.401389,14739,HD 73,8.5,V,00 05 37.0,+43 24 05,114.17,-18.69,Simbad
1.421667,58.495278,6031,LS   I +58  10,9.9,V,00 05 41.2,+58 29 43,116.97,-3.85,Simbad
1.44,62.573056,6032,LS   I +62  65,11.1,V,00 05 45.6,+62 34 23,117.7,0.17,Simbad
1.480417,61.036389,6033,LS   I +60  84,11.3,V,00 05 55.3,+61 02 11,117.45,-1.35,Simbad
1.490833,63.6175,6034,LS   I +63  38,11.8,P,00 05 57.8,+63 37 03,117.91,1.19,Simbad
1.505833,60.866944,6035,LS   I +60  85,9.0,V,00 06 01.4,+60 52 01,117.43,-1.52,Simbad
1.514167,63.679722,6036,LS   I +63  39,7.4,V,00 06 03.4,+63 40 47,117.93,1.25,Simbad
1.5375,63.223056,6037,LS   I +62  66,12.1,V,00 06 09.0,+63 13 23,117.86,0.8,Simbad
1.539583,64.208056,6038,LS   I +63  40,11.3,P,00 06 09.5,+64 12 29,118.03,1.77,Simbad
1.543333,62.029167,6039,LS   I +61 123,10.7,V,00 06 10.4,+62 01 45,117.65,-0.38,Simbad
1.54875,59.853056,6040,LS   I +59  29,11.3,V,00 06 11.7,+59 51 11,117.27,-2.52,Simbad
1.564167,64.408889,6041,LS   I +64  15,11.7,P,00 06 15.4,+64 24 32,118.08,1.96,Simbad
1.610417,64.196111,16524,HR 7,5.6,V,00 06 26.5,+64 11 46,118.06,1.75,Simbad
1.61125,62.509722,6042,LS   I +62  67,10.5,V,00 06 26.7,+62 30 35,117.77,0.09,Simbad
1.685833,64.0925,18116,"AA 17, 253, No. 301",11.3,P,00 06 44.6,+64 05 33,118.07,1.64,Simbad
1.701667,60.600556,6043,LS   I +60  86,9.9,V,00 06 48.4,+60 36 02,117.48,-1.8,Simbad
1.705417,59.86,6044,LS   I +59  30,11.0,V,00 06 49.3,+59 51 36,117.35,-2.53,Simbad
1.7075,62.3725,18094,BD +61 2593,10.0,V,00 06 49.8,+62 22 21,117.79,-0.05,Simbad
1.720417,62.305,6045,LS   I +62  68,11.5,V,00 06 52.9,+62 18 18,117.78,-0.12,Simbad
1.793333,60.318333,6046,LS   I +60  87,10.8,V,00 07 10.4,+60 19 06,117.47,-2.08,Simbad
1.82875,58.338333,6048,LS   I +58  11,10.0,V,00 07 18.9,+58 20 18,117.15,-4.04,Simbad
1.829583,61.898056,6047,LS   I +61 124,11.1,V,00 07 19.1,+61 53 53,117.76,-0.53,Simbad
1.884167,64.029722,6049,LS   I +63  41,11.8,P,00 07 32.2,+64 01 47,118.15,1.57,Simbad
1.888333,63.080278,6050,LS   I +62  69,10.4,V,00 07 33.2,+63 04 49,117.99,0.63,Simbad
1.93375,-2.548611,16525,HR 11,6.4,V,00 07 44.1,-02 32 55,98.02,-63.29,Simbad
1.93625,59.259167,6051,LS   I +58  12,12.2,V,00 07 44.7,+59 15 33,117.37,-3.14,Simbad
1.9725,64.830833,6052,LS   I +64  16,12.2,P,00 07 53.4,+64 49 51,118.32,2.35,Simbad
1.98375,63.335556,6053,LS   I +63  42,12.8,P,00 07 56.1,+63 20 08,118.07,0.87,Simbad
1.990833,63.678889,6054,LS   I +63  43,11.0,P,00 07 57.8,+63 40 44,118.13,1.21,Simbad
2.0075,63.345556,6055,LS   I +63  44,8.8,V,00 08 01.8,+63 20 44,118.09,0.88,Simbad
2.062917,64.062222,6056,LS   I +63  45,11.8,P,00 08 15.1,+64 03 44,118.23,1.59,Simbad
2.097083,29.090556,16723,HD 358,2.1,V,00 08 23.3,+29 05 26,111.73,-32.84,Simbad
2.142083,60.118889,6057,LS   I +59  31,12.3,V,00 08 34.1,+60 07 08,117.61,-2.31,Simbad
2.190833,63.410556,6058,LS   I +63  46,10.3,P,00 08 45.8,+63 24 38,118.18,0.93,Simbad
2.19125,62.5325,18117,"AA 17, 253, No. 322",,N,00 08 45.9,+62 31 57,118.03,0.07,Simbad
2.199583,55.666389,6059,LS   I +55   5,10.5,V,00 08 47.9,+55 39 59,116.9,-6.71,Simbad
2.255833,57.433056,6060,LS   I +57   2,11.4,V,00 09 01.4,+57 25 59,117.23,-4.97,Simbad
2.30625,60.909444,6061,LS   I +60  88,12.6,V,00 09 13.5,+60 54 34,117.82,-1.54,Simbad
2.3375,60.129444,6062,LS   I +59  32,12.2,V,00 09 21.0,+60 07 46,117.71,-2.31,Simbad
2.339167,61.424722,6063,LS   I +61 125,11.3,V,00 09 21.4,+61 25 29,117.92,-1.04,Simbad
2.355,62.788889,6064,LS   I +62  70,11.3,V,00 09 25.2,+62 47 20,118.15,0.31,Simbad
2.355833,60.548333,6065,LS   I +60  89,11.6,V,00 09 25.4,+60 32 54,117.79,-1.9,Simbad
2.40875,63.358611,6066,LS   I +63  47,11.6,P,00 09 38.1,+63 21 31,118.27,0.87,Simbad
2.415833,60.663889,6067,LS   I +60  90,12.0,V,00 09 39.8,+60 39 50,117.83,-1.79,Simbad
2.42,63.117778,6068,LS   I +62  71,11.6,V,00 09 40.8,+63 07 04,118.23,0.63,Simbad
2.448333,64.203611,6069,LS   I +63  48,12.1,P,00 09 47.6,+64 12 13,118.42,1.7,Simbad
2.459167,64.010833,6070,LS   I +63  49,12.0,P,00 09 50.2,+64 00 39,118.39,1.51,Simbad
2.48625,63.646389,6071,LS   I +63  50,10.6,P,00 09 56.7,+63 38 47,118.35,1.15,Simbad
2.502917,60.535833,6072,LS   I +60  91,11.0,V,00 10 00.7,+60 32 09,117.86,-1.93,Simbad
2.535,60.543333,6073,LS   I +60  92,12.2,V,00 10 08.4,+60 32 36,117.87,-1.92,Simbad
2.569167,59.905833,6074,LS   I +59  33,11.5,V,00 10 16.6,+59 54 21,117.79,-2.55,Simbad
2.577083,62.073056,6075,LS   I +61 126,10.7,V,00 10 18.5,+62 04 23,118.14,-0.42,Simbad
2.62375,57.165556,16526,HR 28,6.7,V,00 10 29.7,+57 09 56,117.38,-5.26,Simbad
2.636667,62.628056,6076,LS   I +62  72,11.7,V,00 10 32.8,+62 37 41,118.25,0.13,Simbad
2.64375,59.673611,6077,LS   I +59  34,6.7,V,00 10 34.5,+59 40 25,117.79,-2.79,Simbad
2.655417,58.748333,17637,HD 594,8.1,V,00 10 37.3,+58 44 54,117.65,-3.7,Simbad
2.733333,64.962778,6078,LS   I +64  17,9.6,V,00 10 56.0,+64 57 46,118.66,2.43,Simbad
2.89625,63.934167,18095,BD +63 8,10.0,V,00 11 35.1,+63 56 03,118.57,1.4,Simbad
2.902917,60.969444,6079,LS   I +60  93,11.9,V,00 11 36.7,+60 58 10,118.12,-1.53,Simbad
2.904583,58.211667,6080,LS   I +57   3,7.1,V,00 11 37.1,+58 12 42,117.69,-4.25,Simbad
2.93625,57.271389,6081,LS   I +56   5,7.1,V,00 11 44.7,+57 16 17,117.56,-5.19,Simbad
2.962083,63.0375,6082,LS   I +62  73,11.6,V,00 11 50.9,+63 02 15,118.46,0.51,Simbad
3.04625,61.389444,6083,LS   I +61 127,12.6,V,00 12 11.1,+61 23 22,118.25,-1.12,Simbad
3.16625,60.226111,6084,LS   I +59  35,10.4,V,00 12 39.9,+60 13 34,118.13,-2.28,Simbad
3.19875,63.589167,18118,"AA 17, 253, No. 347",10.5,P,00 12 47.7,+63 35 21,118.65,1.04,Simbad
3.209167,37.693611,16512,HR 38,6.7,V,00 12 50.2,+37 41 37,114.55,-24.55,Simbad
3.231667,63.445556,6085,LS   I +63  51,12.5,P,00 12 55.6,+63 26 44,118.64,0.9,Simbad
3.25125,55.858611,6086,LS   I +55   6,7.9,V,00 13 00.3,+55 51 31,117.52,-6.61,Simbad
3.309167,15.183333,15090,GAMMA PEG,2.8,V,00 13 14.2,+15 11 00,109.43,-46.68,Simbad
3.34125,63.244722,6087,LS   I +62  74,9.9,V,00 13 21.9,+63 14 41,118.66,0.69,Simbad
3.34625,62.606389,6088,LS   I +62  75,11.4,V,00 13 23.1,+62 36 23,118.57,0.06,Simbad
3.350833,59.220278,6089,LS   I +58  13,10.8,V,00 13 24.2,+59 13 13,118.07,-3.29,Simbad
3.35625,61.211389,6090,LS   I +60  94,9.9,V,00 13 25.5,+61 12 41,118.37,-1.32,Simbad
3.379583,64.540833,6091,LS   I +64  18,10.7,P,00 13 31.1,+64 32 27,118.87,1.97,Simbad
3.395417,64.164722,6092,LS   I +63  52,9.8,V,00 13 34.9,+64 09 53,118.82,1.6,Simbad
3.4425,54.464444,16636,HD 232138,8.7,V,00 13 46.2,+54 27 52,117.42,-8.0,Simbad
3.45625,64.546111,6093,LS   I +64  19,13.0,P,00 13 49.5,+64 32 46,118.9,1.97,Simbad
3.481667,-17.545278,16757,HD 955,7.3,V,00 13 55.6,-17 32 43,78.89,-77.09,Simbad
3.485833,59.428333,6094,LS   I +59  36,8.9,V,00 13 56.6,+59 25 42,118.17,-3.1,Simbad
3.518333,62.256667,6095,LS   I +61 128,11.8,V,00 14 04.4,+62 15 24,118.6,-0.3,Simbad
3.58375,62.9025,6096,LS   I +62  76,11.9,V,00 14 20.1,+62 54 09,118.72,0.33,Simbad
3.586667,63.217222,6097,LS   I +62  77,11.7,V,00 14 20.8,+63 13 02,118.77,0.65,Simbad
3.602917,63.370556,6098,LS   I +63  53,12.5,P,00 14 24.7,+63 22 14,118.8,0.8,Simbad
3.6175,56.253056,6099,LS   I +55   7,9.1,V,00 14 28.2,+56 15 11,117.78,-6.25,Simbad
3.666667,62.969722,6100,LS   I +62  78,11.6,V,00 14 40.0,+62 58 11,118.77,0.4,Simbad
3.685,62.543889,6101,LS   I +62  79,10.7,V,00 14 44.4,+62 32 38,118.72,-0.03,Simbad
3.695833,63.501111,6102,LS   I +63  54,12.7,P,00 14 47.0,+63 30 04,118.86,0.92,Simbad
3.722917,62.808611,6103,LS   I +62  80,11.5,V,00 14 53.5,+62 48 31,118.77,0.23,Simbad
3.73875,62.836667,6104,LS   I +62  81,11.1,V,00 14 57.3,+62 50 12,118.78,0.26,Simbad
3.762917,63.480556,6105,LS   I +63  55,12.1,P,00 15 03.1,+63 28 50,118.88,0.9,Simbad
3.76625,63.545833,6106,LS   I +63  56,10.4,P,00 15 03.9,+63 32 45,118.89,0.96,Simbad
3.784167,60.973333,6107,LS   I +60  95,12.4,V,00 15 08.2,+60 58 24,118.54,-1.59,Simbad
3.803333,59.779167,6108,LS   I +59  37,8.0,V,00 15 12.8,+59 46 45,118.38,-2.77,Simbad
3.825833,62.254444,6109,LS   I +61 129,12.7,V,00 15 18.2,+62 15 16,118.74,-0.32,Simbad
3.832083,59.12,6110,LS   I +58  14,11.4,V,00 15 19.7,+59 07 12,118.3,-3.43,Simbad
3.840417,62.250556,6111,LS   I +61 130,12.6,V,00 15 21.7,+62 15 02,118.75,-0.33,Simbad
3.879583,64.1475,6112,LS   I +63  57,10.3,V,00 15 31.1,+64 08 51,119.03,1.55,Simbad
4.072917,59.546111,6113,LS   I +59  38,11.8,V,00 16 17.5,+59 32 46,118.49,-3.02,Simbad
4.085833,61.925,6114,LS   I +61 131,12.1,V,00 16 20.6,+61 55 30,118.82,-0.67,Simbad
4.10125,63.496111,6115,LS   I +63  58,11.3,P,00 16 24.3,+63 29 46,119.04,0.89,Simbad
4.116667,59.080278,6116,LS   I +58  15,10.4,V,00 16 28.0,+59 04 49,118.44,-3.49,Simbad
4.144167,60.610278,6117,LS   I +60  96,10.8,V,00 16 34.6,+60 36 37,118.66,-1.97,Simbad
4.170417,62.551667,6118,LS   I +62  82,8.7,V,00 16 40.9,+62 33 06,118.94,-0.05,Simbad
4.17625,-20.21,17332,HR 61,6.5,V,00 16 42.3,-20 12 36,72.13,-79.47,Simbad
4.179167,61.761667,6119,LS   I +61 132,11.4,V,00 16 43.0,+61 45 42,118.84,-0.83,Simbad
4.2075,62.156389,6120,LS   I +61 133,10.5,V,00 16 49.8,+62 09 23,118.9,-0.44,Simbad
4.21125,62.899444,6121,LS   I +62  83,10.8,V,00 16 50.7,+62 53 58,119.0,0.29,Simbad
4.2875,47.9475,16396,HR 62,5.9,V,00 17 09.0,+47 56 51,117.01,-14.53,Simbad
4.30625,60.874444,6122,LS   I +60  97,12.1,V,00 17 13.5,+60 52 28,118.78,-1.72,Simbad
4.354583,63.161111,6123,LS   I +62  84,11.5,V,00 17 25.1,+63 09 40,119.1,0.54,Simbad
4.429583,51.433056,14758,MCW 6,6.0,V,00 17 43.1,+51 25 59,117.59,-11.09,Simbad
4.4625,61.733889,6125,LS   I +61 134,10.8,V,00 17 51.0,+61 44 02,118.97,-0.88,Simbad
4.46375,63.479444,6124,LS   I +63  59,12.5,P,00 17 51.3,+63 28 46,119.19,0.85,Simbad
4.554583,63.343889,6126,LS   I +63  60,10.4,P,00 18 13.1,+63 20 38,119.22,0.71,Simbad
4.573333,61.726944,6127,LS   I +61 135,7.6,V,00 18 17.6,+61 43 37,119.02,-0.89,Simbad
4.667083,63.2325,6128,LS   I +62  85,12.2,V,00 18 40.1,+63 13 57,119.25,0.6,Simbad
4.74125,63.571667,6129,LS   I +63  61,8.9,V,00 18 57.9,+63 34 18,119.33,0.93,Simbad
4.748333,63.665,6130,LS   I +63  62,10.9,P,00 18 59.6,+63 39 54,119.34,1.02,Simbad
4.751667,60.335,6131,LS   I +60  98,7.8,V,00 19 00.4,+60 20 06,118.93,-2.28,Simbad
4.77,65.219167,6132,LS   I +64  20,9.1,V,00 19 04.8,+65 13 09,119.55,2.56,Simbad
4.77875,63.589167,6133,LS   I +63  63,10.3,P,00 19 06.9,+63 35 21,119.35,0.94,Simbad
4.858333,63.826389,6134,LS   I +63  64,10.0,P,00 19 26.0,+63 49 35,119.41,1.17,Simbad
4.8775,60.038611,6135,LS   I +59  39,10.8,V,00 19 30.6,+60 02 19,118.95,-2.59,Simbad
4.959583,62.393056,6136,LS   I +62  86,10.7,V,00 19 50.3,+62 23 35,119.28,-0.25,Simbad
5.022917,62.066389,6137,LS   I +61 136,8.1,V,00 20 05.5,+62 03 59,119.27,-0.58,Simbad
5.0725,62.463889,6138,LS   I +62  87,8.5,V,00 20 17.4,+62 27 50,119.34,-0.19,Simbad
5.101667,30.935556,17436,HR 78,5.9,V,00 20 24.4,+30 56 08,115.13,-31.47,Simbad
5.106667,62.396111,6139,LS   I +62  88,9.5,V,00 20 25.6,+62 23 46,119.35,-0.26,Simbad
5.112917,58.818611,6140,LS   I +58  16,12.5,V,00 20 27.1,+58 49 07,118.92,-3.81,Simbad
5.125,60.285556,6141,LS   I +60  99,8.8,V,00 20 30.0,+60 17 08,119.1,-2.36,Simbad
5.2175,55.712222,6142,LS   I +55   8,12.8,V,00 20 52.2,+55 42 44,118.6,-6.9,Simbad
5.224167,59.841944,6143,LS   I +59  40,12.3,V,00 20 53.8,+59 50 31,119.1,-2.8,Simbad
5.2375,63.817222,6144,LS   I +63  65,13.1,P,00 20 57.0,+63 49 02,119.58,1.14,Simbad
5.362917,61.736667,6145,LS   I +61 137,11.4,V,00 21 27.1,+61 44 12,119.39,-0.93,Simbad
5.39375,61.459167,6146,LS   I +61 138,12.2,V,00 21 34.5,+61 27 33,119.37,-1.21,Simbad
5.410417,62.606111,6147,LS   I +62  89,11.8,V,00 21 38.5,+62 36 22,119.51,-0.07,Simbad
5.43875,58.339722,6148,LS   I +58  17,10.9,V,00 21 45.3,+58 20 23,119.03,-4.31,Simbad
5.459583,64.595,6149,LS   I +64  21,9.4,V,00 21 50.3,+64 35 42,119.76,1.91,Simbad
5.467917,61.7575,6150,LS   I +61 139,11.8,V,00 21 52.3,+61 45 27,119.44,-0.91,Simbad
5.474583,61.750556,6151,LS   I +61 140,9.5,V,00 21 53.9,+61 45 02,119.44,-0.92,Simbad
5.48625,63.511111,6152,LS   I +63  66,10.6,P,00 21 56.7,+63 30 40,119.65,0.83,Simbad
5.499583,62.946667,6153,LS   I +62  90,11.1,V,00 21 59.9,+62 56 48,119.59,0.27,Simbad
5.514167,62.185,6154,LS   I +61 141,8.3,V,00 22 03.4,+62 11 06,119.51,-0.49,Simbad
5.520833,61.566111,6155,LS   I +61 142,10.7,V,00 22 05.0,+61 33 58,119.44,-1.11,Simbad
5.553333,61.744444,6156,LS   I +61 143,12.4,V,00 22 12.8,+61 44 40,119.48,-0.93,Simbad
5.582083,61.6525,6157,LS   I +61 144,10.2,V,00 22 19.7,+61 39 09,119.48,-1.02,Simbad
5.610417,61.8275,6158,LS   I +61 145,11.2,V,00 22 26.5,+61 49 39,119.52,-0.85,Simbad
5.721667,62.241667,6159,LS   I +61 146,8.2,V,00 22 53.2,+62 14 30,119.61,-0.45,Simbad
5.727917,62.241944,6160,LS   I +61 147,11.1,V,00 22 54.7,+62 14 31,119.62,-0.45,Simbad
5.72875,61.201111,6161,LS   I +60 100,11.7,V,00 22 54.9,+61 12 04,119.5,-1.48,Simbad
5.741667,63.439444,6162,LS   I +63  67,12.0,P,00 22 58.0,+63 26 22,119.76,0.74,Simbad
5.8025,-31.035833,16758,HD 1909,6.5,V,00 23 12.6,-31 02 09,358.89,-82.7,Simbad
5.85375,63.030278,6163,LS   I +62  91,11.0,V,00 23 24.9,+63 01 49,119.76,0.33,Simbad
5.894167,64.710556,6164,LS   I +64  22,12.0,P,00 23 34.6,+64 42 38,119.96,2.0,Simbad
5.899167,63.3325,6165,LS   I +63  68,10.2,P,00 23 35.8,+63 19 57,119.81,0.63,Simbad
5.919167,63.365556,14564,Hilt 17,9.6,V,00 23 40.6,+63 21 56,119.83,0.66,Simbad
5.92875,63.715833,6166,LS   I +63  69,12.9,P,00 23 42.9,+63 42 57,119.87,1.01,Simbad
5.931667,59.847778,6167,LS   I +59  41,11.5,V,00 23 43.6,+59 50 52,119.45,-2.84,Simbad
5.95125,63.818333,6168,LS   I +63  70,13.5,P,00 23 48.3,+63 49 06,119.89,1.11,Simbad
